loc_str,Long,Lat
De Mond Western Cape Province SOUTH AFRICA,-34.7155935,20.106423
Hawston Beach Western Cape Province SOUTH AFRICA,-34.4053197,19.1377041
African Reef off Geraldton Western Australia AUSTRALIA,-28.802443,114.6163334
Muriwai North Island NEW ZEALAND,-36.7905102,174.2883374
"Ka'anapali, Honokowai, Maui Hawaii USA",20.9140973,-156.7216903
"""Stuart Rocks"", Martin County Florida USA",27.189271,-80.2549443
Cape Nelson Victoria AUSTRALIA,-38.4320788,141.5412452
Noosa Queensland AUSTRALIA,-26.3181946,152.8013757
"Humboldt Bay, Eureka, Humboldt County California USA",40.7426721,-124.2993136
"Surf Beach, Lompoc, Santa Barbara County California USA",34.6829861,-120.6071842
Hobe Sound Florida USA,27.0805577,-80.1765581
Oboro Delta NIGERIA,5.1833328,5.8745782
"Davenport Landing, Santa Cruz County California USA",37.0258857,-122.2180705
"Mullaloo Beach, Perth Western Australia AUSTRALIA",-31.7824397,115.7144989
"Spanish House Beach, Brevard County Florida USA",27.9271447,-80.4901708
"Iroquiois Point, Oahu Hawaii USA",21.3217722,-157.9870363
"Leffingwell Landing, Cambria,  San Luis Obispo County California USA",35.5838507,-121.1236084
Off Catalina Island California USA,33.3889062,-118.5950301
Caves near Kogel Bay Western Cape Province SOUTH AFRICA,-33.5301179,19.1606024
"Dolphin Bay, Innes National Park South Australia AUSTRALIA",-35.2367082,136.8944375
Stratham Beach Western Australia AUSTRALIA,-33.4670471,115.5585152
Kalbarri Western Australia AUSTRALIA,-27.6803767,114.0619603
Nobby's Beach Queensland AUSTRALIA,-28.0564111,153.4355794
"Opunake, Taranake North Island NEW ZEALAND",-39.4160868,173.7553562
"Shipwreck Cove, Melbourne Aquarium Victoria AUSTRALIA",-37.8207879,144.9561307
Port de laŒæMarine Saint-Benoit REUNION,-21.0198329,55.7026899
Antofagasta Antofagasta Province CHILE,-23.6283069,-70.5448166
"Palm Beach Inlet, Palm Beach County Florida USA",26.7722843,-80.0460178
Broughton Island New South Wales AUSTRALIA,-32.6175692,152.2993149
Strandfontein Western Cape Province SOUTH AFRICA,-31.7462178,18.2132509
Wurtulla Queensland AUSTRALIA,-26.7556535,153.1179276
Lanai Hawaii USA,20.8305128,-157.0740381
Taimali Taitung  TAIWAN,22.5772134,120.8535423
Redhead Beach New South Wales AUSTRALIA,-33.0208771,151.7009296
"Second Beach, Port St. Johns Eastern Cape Province SOUTH AFRICA",-31.6409371,29.5277309
"Lincoln City, Lincoln County Oregon USA",44.9681276,-124.0718807
North Avoca Beach New South Wales AUSTRALIA,-33.460639,151.4342176
Duranbah Queensland AUSTRALIA,-28.3008011,153.4936411
"Jupiter, Palm Beach County Florida USA",26.9267113,-80.1533571
Fort James Beach St John's ANTIGUA,17.1347996,-61.8658967
New Smyrna Beach Florida USA,29.0295263,-81.0249492
"Makahuena Point, Kauai Hawaii USA",21.8717446,-159.4551077
"Noordhoek, Port Elizabeth Eastern Cape Province SOUTH AFRICA",-34.0333322,25.6245782
Angourie New South Wales AUSTRALIA,-29.4690632,153.3379458
Between Sodwana & Cape Vidal KwaZulu-Natal SOUTH AFRICA,-28.12322,32.5541713
Peregian Queensland AUSTRALIA,-26.4745267,153.0360355
Pigeon Point California USA,37.1829202,-122.3949909
Pigeon Island East New Britain PAPUA NEW GUINEA,-4.2694443,152.3334674
Sainte-Rose Bois-Blanc  REUNION,-21.1960552,55.8106326
"Marina State Beach, Monterey County California USA",36.6927933,-121.8114728
Spey Bay Moray SCOTLAND,57.6713012,-3.0939868
"uShaka Aquarium, Durban KwaZulu-Natal SOUTH AFRICA",-29.8672537,31.0436655
"Newport, Lincoln County Oregon USA",44.6212013,-124.1899821
Elwood Beach Victoria AUSTRALIA,-37.8903432,144.9823735
Cape Canaveral Florida USA,28.3882309,-80.6242721
Seaside Oregon USA,45.9819496,-123.9621426
Cottesloe Beach Western Australia AUSTRALIA,-31.9895081,115.7429881
"Santa Maria Island, Manatee County Florida USA",27.4916835,-82.7870718
Hatillo Beach Puerto Rico USA,18.4908069,-66.7963761
Clovely Beach Western Cape Province SOUTH AFRICA,-34.1325524,18.4371186
Boucan-Canot Saint-Gilles REUNION,-21.0272603,55.2243362
"Melkbaai, Strand Western Cape Province SOUTH AFRICA",-4.0679982,39.6778704
"Lauderdale-by-the-Sea, Broward County Florida USA",26.2006593,-80.1112751
"Dent Island, Whitsundays Queensland AUSTRALIA",-20.3591879,148.9154699
"Mona Vale Beach, Sydney New South Wales AUSTRALIA",-33.6809098,151.3091799
Cosy Nook South Island NEW ZEALAND,-46.3339107,167.7068485
"Adventure Aquarium, Camden New Jersey USA",39.9442305,-75.1327536
"Lori Wilson Park, Cocoa Beach, Brevard County Florida USA",28.3371371,-80.6116584
"Loch Lomond, Marin County California USA",37.9732121,-122.4860774
"Ponce, Volusia County Florida USA",29.1029784,-80.9633912
Spanish Cay Abaco Islands BAHAMAS,26.9089486,-77.5602557
Likoni Channel Mombasa KENYA,-4.097034,39.6334876
South Padre Island Texas USA,26.1127217,-97.2030206
Sant Salvador Catalunya SPAIN,41.1850727,1.5368574
Kona Hawaii USA,19.6643179,-156.025568
Fingal Bay New South Wales AUSTRALIA,-32.7499964,152.1330013
Umtentweni KwaZulu-Natal SOUTH AFRICA,-30.7183308,30.4451574
San Diego County California USA,33.0156777,-117.4064936
Blue Bay New South Wales AUSTRALIA,-33.354396,151.4964695
South Broulee New South Wales AUSTRALIA,-35.855849,150.1208094
Bateman's Bay New South Wales AUSTRALIA,-35.7083022,150.0969111
Pulau Payar Island Strait of Malacca MALAYSIA,6.0499998,100.0245785
Alenuihaha Channel Hawaii USA,20.6333327,-156.0504215
"The Natural Jetty, Rottnest Island Western Australia AUSTRALIA",-32.0216052,115.5533338
Bourail South Province NEW CALEDONIA,-21.5626667,165.474014
Taranaki North Island NEW ZEALAND,-39.282668,173.8148779
Avalon New South Wales AUSTRALIA,-33.6287196,151.3101907
Cherry Grove South Carolina USA,-33.6287196,151.2926813
"Hammocks Beach State Park, Bear Island, Onslow County North Carolina USA",34.6318289,-77.1575944
Playa Linda Guerro MEXICO,17.6652643,-101.5934246
Pantla Beach Guerro MEXICO,17.7387613,-101.6367222
Turtle Island Yasawa Islands FIJI,-16.9621684,177.3655745
Nofoali‰Û¡ÌÝå»i  Upolu Island SAMOA,38.9309515,-77.027301
