,gmtoffset,lat,long,tz,tz_abb
35,-18000,41.54930170000001,-70.5557244,America/New_York,EST
36,-28800,37.22736079999999,-122.4109773,America/Los_Angeles,PST
37,-18000,32.216316,-80.752608,America/New_York,EST
38,-18000,33.3690565,-79.15171109999999,America/New_York,EST
39,-18000,25.0874121,-77.2218338,America/Nassau,EST
40,0,-7.9467165999999985,-14.3559158,Atlantic/St_Helena,GMT
41,-18000,39.340394200000006,-74.4773735,America/New_York,EST
42,3600,39.316562,2.9938130000000003,Europe/Madrid,CET
43,-18000,24.6981975,-81.67397840000001,America/New_York,EST
44,-28800,34.409980700000006,-119.6855856,America/Los_Angeles,PST
45,-28800,34.416834200000004,-119.83220990000001,America/Los_Angeles,PST
46,-28800,46.888832,-124.1038919,America/Los_Angeles,PST
47,-28800,36.9741171,-122.0307963,America/Los_Angeles,PST
48,-18000,25.9065987,-80.1244416,America/New_York,EST
49,-21600,18.281481,-93.876869,America/Mexico_City,CST
50,7200,-32.9965532,27.949716,Africa/Johannesburg,SAST
51,-18000,34.2076329,-77.79634589999998,America/New_York,EST
52,3600,38.883819,1.4058811000000002,Europe/Madrid,CET
53,28800,-33.3153009,115.63711090000001,Australia/Perth,AWST
54,39600,-38.474000000000004,145.02200000000002,Australia/Melbourne,AEDT
55,0,50.278316700000005,-3.8785888999999996,Europe/London,GMT
56,-18000,25.0782767,-77.27176419999998,America/Nassau,EST
57,-18000,33.037670299999995,-79.61312699999998,America/New_York,EST
58,-18000,26.8891892,-80.1056256,America/New_York,EST
59,39600,-29.108617100000004,153.4217078,Australia/Sydney,AEDT
60,14400,25.3365669,56.3432629,Asia/Dubai,+04
61,36000,-12.6492936,141.84699009999997,Australia/Brisbane,AEST
62,-25200,23.4041532,-109.42497069999999,America/Mazatlan,MST
63,-28800,33.7207336,-118.0735739,America/Los_Angeles,PST
64,-28800,33.3811408,-117.57310159999999,America/Los_Angeles,PST
65,7200,-33.8923946,23.1679321,Africa/Johannesburg,SAST
66,-18000,32.6551798,-79.94036729999998,America/New_York,EST
67,46800,-46.6491468,169.11717869999998,Pacific/Auckland,NZDT
68,-18000,33.4213399,-79.29021329999998,America/New_York,EST
69,-18000,29.2108147,-81.02283309999999,America/New_York,EST
70,28800,-33.8324777,121.9970721,Australia/Perth,AWST
71,-36000,21.968420899999998,-159.7196382,Pacific/Honolulu,HST
72,-18000,29.9012437,-81.31243409999998,America/Kentucky/Monticello,EST
73,7200,-30.8333333,30.483333299999998,Africa/Johannesburg,SAST
74,-18000,29.285812899999996,-81.05588940000001,America/New_York,EST
75,-18000,28.068349600000005,-80.56033029999998,America/New_York,EST
76,36000,-27.3123953,153.3446649,Australia/Brisbane,AEST
77,-21600,30.3935337,-86.4957833,America/Chicago,CST
78,39600,-34.5003499,149.4228892,Australia/Sydney,AEDT
79,-28800,36.80074129999999,-121.94731100000001,America/Los_Angeles,PST
80,28800,-31.8832473,116.76162509999999,Australia/Perth,AWST
81,28800,-32.5785751,115.65358130000001,Australia/Perth,AWST
82,36000,-18.235612,146.3256112,Australia/Lindeman,AEST
83,-7200,-3.8604156,-32.415579,America/Noronha,-02
84,7200,-29.742907000000002,31.077950199999997,Africa/Johannesburg,SAST
85,-18000,32.2956531,-80.9441032,America/New_York,EST
86,-18000,27.6386434,-80.39727359999998,America/New_York,EST
87,36000,-22.0422664,149.4835735,Australia/Brisbane,AEST
88,-18000,27.2544906,-80.22976969999998,America/New_York,EST
89,28800,-8.503113299999999,114.96555959999999,Asia/Makassar,WITA
90,-18000,28.2604355,-80.60459190000002,America/New_York,EST
91,39600,-36.8875485,149.90587480000002,Australia/Sydney,AEDT
92,-18000,27.5382739,-80.31620960000002,America/Kentucky/Monticello,EST
93,7200,-34.03804,23.378235699999998,Africa/Johannesburg,SAST
94,28800,-31.8779189,115.7517755,Australia/Perth,AWST
95,39600,-32.312709600000005,152.5179343,Australia/Sydney,AEDT
96,39600,-38.2677746,144.6286897,Australia/Melbourne,AEDT
97,-36000,20.7162466,-156.4466804,Pacific/Honolulu,HST
98,-18000,30.388146399999997,-81.40827039999998,America/New_York,EST
99,-18000,30.391306,-81.4237363,America/New_York,EST
100,39600,-28.701846399999997,153.6139946,Australia/Sydney,AEDT
101,-36000,20.9342545,-156.356079,Pacific/Honolulu,HST
102,36000,-26.801,153.141,Australia/Brisbane,AEST
103,-36000,20.724569600000002,-156.4490623,Pacific/Honolulu,HST
104,39600,-28.837724199999997,153.60440319999998,Australia/Sydney,AEDT
105,-28800,45.927311100000004,-123.97248590000002,America/Los_Angeles,PST
106,39600,-28.87259989999999,153.58992469999998,Australia/Sydney,AEDT
107,-28800,40.7195153,-124.24260100000001,America/Los_Angeles,PST
108,39600,-38.2852436,144.4587149,Australia/Melbourne,AEDT
109,39600,-38.366944000000004,144.284722,Australia/Melbourne,AEDT
110,39600,-20.549448,164.2707509,Pacific/Noumea,+11
111,-18000,33.7737746,-78.78008679999998,America/New_York,EST
112,28800,-33.687386,114.99718500000002,Australia/Perth,AWST
113,-28800,34.4641472,-120.06653440000001,America/Los_Angeles,PST
